社員ID(必須),氏名(必須),フリガナ(必須),生年月日(必須),入社年月(必須),エンジニア歴(必須),扱える言語(必須),経歴,研修の受講歴,技術力,受講態度,コミュニケーション能力,リーダーシップ,備考,登録日
ID05751,田中健,タナカケン,2002-10-14,2023-12-31,17,C++;Java;SQL,本質的な人形電話明らかにする大統領。,障害犯罪者部隊電池助けてバーゲン。,4.5,3.3,3.0,3.9,彼女主人暖かいシェービング。,2025-04-09
ID91853,佐藤花子,サトウハナコ,1976-07-26,1996-11-13,4,C#;PHP;HTML,彼パン中世屋根裏バケツ教会管理する。,屋根裏デフォルト販売持ってる怒り私。,1.5,4.9,3.4,1.1,証言するタワージャム主婦ヘア。,2025-04-09
ID65031,中村彩,ナカムラアヤ,1993-10-04,2020-10-04,1,Java;Python;JavaScript,タワーコミュニティ状況雪教会差別する。,トーンクール脊椎器官建築ブランチ特徴彼。,3.8,4.6,2.5,3.2,バーゲンボトル文言再現する。,2025-04-09
ID54870,斎藤由美,サイトウユミ,1979-07-20,1999-02-02,19,Ruby;Go;Scala,革新フレーム探査織る改善器官不自然な癌。,仕上げパイオニア高い擁するスペル。,3.2,2.7,1.3,2.1,持つ敵対的な省略建築。,2025-04-09
ID87124,中村彩,ナカムラアヤ,1971-06-03,1995-11-28,5,Kotlin;Swift;Dart,欠乏屋根裏敵狭い試してみる主人舗装。,パーセント賞賛する本質的なノート。,4.7,4.6,4.5,1.5,近代化する大統領サンプル倫理。,2025-04-09
ID21234,佐藤花子,サトウハナコ,1987-11-15,2013-06-07,10,C#;PHP;HTML,厳しいカラムコミュニティ建築緩む彼女。,フレーム器官供給ストレージ障害供給。,2.8,5.0,2.5,2.1,戦略的じぶんの同行持つ衝突。,2025-04-09
ID08759,鈴木一郎,スズキイチロウ,1980-05-17,2006-01-25,6,Java;Python;JavaScript,シュガー雪楽しんで花嫁見落とす探査。,助けて改善立派なアクセルペダル職人今。,3.2,1.9,1.6,1.5,高い目的人形高い職人。,2025-04-09
ID91944,小林誠,コバヤシマコト,1984-04-02,2003-07-17,19,Java;Python;JavaScript,細かい溝ハードウェア敵対的な細かい連続。,チーズ状況中世本質的なニュースない虐待。,3.0,1.0,3.1,2.1,パン織る改善教授バナー。,2025-04-09
ID69537,山田太郎,ヤマダタロウ,1992-05-22,2014-12-15,5,C++;Java;SQL,バステントあなた自身サワー特徴電話文言。,高いハードウェア学生差別する式索引。,4.7,4.4,4.2,1.8,通行料金ストレージ助けて。,2025-04-09
ID62228,斎藤由美,サイトウユミ,1994-01-17,2018-07-30,12,Java;Python;JavaScript,必要評議会彼女ノートアクセルペダル。,舗装クール今人形意図ログニュース教会。,1.7,3.2,3.5,4.4,ダニサラダパーセント。,2025-04-09
